This file contains definitions for materials and their properties.
Data collection begins below the "MATS" line below. All lines above that
are considered comments. Function which reads these values in is
load_materials() in db.c

This table is of the form:
MATERIAL_NAME	RELATIVE	RELATIVE	RELATIVE	RELATIVE	RELATIVE
				AC VS		AC VS		AC VS		AC VS		WEIGHT (% OF
				PIERCE		BASH		SLASH		MAGIC		WEIGHT STD)
MATS 
plastic~ 		50			50			50			30			40
wood~			80			60			95			50			70
magic~			70			70			70			140			20
iron~			110			85			120			60			110
gold~			125			95			135			80			115
dragonscale~ 	105			135			110			90			90
stone~			140			80			120			60			110
metal~			120			95			120			60			105
leather~ 		70			120			75			80			60
gem~			80			120			100			90			70
ceramic~ 		60			60			60			30			70
tin~			110			70			100			50			95
adamantite~ 	130			100			130			90			120
titanium~		140			105			140			90			125
flesh~			60			90			50			40			70
ebony~			95			100			95			85			90
plant~			60			60			60			60			50
mithril~ 		135			100			135			85			110
cloth~ 			65			85			65			120			30
unknown~ 		100			100			100			100			100
none~ 			100			100			100			100			100
dirt~ 			40			40			40			40			10
liquid~ 		40			60			40			100			30
food~ 			40			40			40			40			50
copper~ 		105			80			105			70			100
paper~ 			40			40			40			40			40
mineral~ 		80			140			90			95			90
bone~ 			80			125			100			60			90
glass~ 			130			40			120			80			85
silver~ 		120			90			120			75			110
steel~ 			120			80			120			75			115
bronze~ 		115			90			115			70			115
energy~			90			100			90			140			60
nitroglycerin~	30			30			30			30			30
